clip_id,anomaly_type,psnr,ssim,lpips,tlp,warp_error,residual_drop,mask_iou
avenue_01_00_static_object,static_object,25.60504486539297,0.9722006693482399,0.1032918244600296,0.01952354796230793,1.6209450960159302,0.0,0.0
avenue_01_01_moving_object,moving_object,27.868948483251856,0.9762374795973301,0.0634450912475586,0.04916970804333687,2.0061120986938477,0.02687833947219228,0.002723007775335455
avenue_01_02_local_appearance,local_appearance,28.850032591604517,0.9748957306146622,0.060356881469488144,0.03186344727873802,1.6045043468475342,-0.016578173547197195,0.0
avenue_01_03_static_object,static_object,24.35152819135122,0.9531325995922089,0.09481620788574219,0.04494605213403702,2.565197229385376,-0.5829859577239993,0.0
avenue_01_04_moving_object,moving_object,46.86008399107389,0.9978387616574764,0.001715389546006918,0.00823191087692976,0.7547582983970642,0.7922696285815796,0.5752694271128758
avenue_01_05_local_appearance,local_appearance,24.839420819067286,0.9554983824491501,0.05738665908575058,0.055569905787706375,3.6720941066741943,0.0,0.0
avenue_01_06_static_object,static_object,31.632004284643457,0.9790310524404049,0.03496519476175308,0.019138241186738014,1.1793262958526611,-0.9342685097169278,0.23388807850417717
avenue_01_07_moving_object,moving_object,29.88339116551809,0.990870326757431,0.03762591630220413,0.03691517189145088,1.7091001272201538,0.011969308792850136,0.002407318247472316
avenue_01_08_local_appearance,local_appearance,27.93372442700796,0.9766659326851368,0.05000852420926094,0.02804414927959442,1.7051597833633423,-0.07799103508036785,2.8376039272438353e-05
avenue_01_09_static_object,static_object,35.09549667813711,0.9921908900141716,0.016324151307344437,0.01774015836417675,1.3765474557876587,-0.2460875134181767,0.4862853204686423
avenue_01_10_moving_object,moving_object,27.74203112103872,0.9672666639089584,0.04237087815999985,0.05477171018719673,2.903634548187256,0.5737627067547592,0.1158344373886427
avenue_01_11_local_appearance,local_appearance,30.00380566098623,0.9789763949811459,0.03708212822675705,0.03490617871284485,2.230424642562866,0.0,0.0
avenue_01_12_static_object,static_object,26.257408165716456,0.9751752726733685,0.061190612614154816,0.04000095650553703,2.3040013313293457,-1.5620244599077644,0.041940273882197655
avenue_01_13_moving_object,moving_object,25.678580307745264,0.9587370976805687,0.07837413251399994,0.06898632645606995,3.267141819000244,0.0,0.0
avenue_01_14_local_appearance,local_appearance,26.620049977087305,0.9603259116411209,0.04600336402654648,0.0435522235929966,2.9868760108947754,0.0,0.0
avenue_01_15_static_object,static_object,27.082460427068995,0.9742547161877155,0.07929371297359467,0.024920552968978882,1.7704745531082153,0.0,0.0
avenue_01_16_moving_object,moving_object,27.34311630704336,0.9750560708343983,0.046259425580501556,0.047475624829530716,2.153853416442871,0.11411067759223498,0.004279502892943956
avenue_01_17_local_appearance,local_appearance,24.760103726171778,0.9552548304200172,0.05491912364959717,0.053345125168561935,3.9526278972625732,0.0,0.0
avenue_01_18_static_object,static_object,26.285527252935694,0.9727015048265457,0.08099216222763062,0.025414254516363144,1.8937335014343262,0.0,0.0
avenue_01_19_moving_object,moving_object,25.088727974676416,0.972503587603569,0.055013447999954224,0.06330317258834839,3.6808297634124756,-0.10507083231620155,0.010195933910693447
avenue_01_20_local_appearance,local_appearance,38.56786420323782,0.9927639029920101,0.010313238948583603,0.010832359082996845,1.340501308441162,0.026063502692817302,0.5279197608255377
avenue_01_21_static_object,static_object,37.38599827268057,0.9934606626629829,0.0147069301456213,0.01559343934059143,1.4579576253890991,-0.563063098035817,0.5214306828258942
avenue_01_22_moving_object,moving_object,29.249405169271753,0.9902946650981903,0.05192461609840393,0.04455767199397087,2.2090911865234375,-0.00026094931190069896,0.0
avenue_01_23_local_appearance,local_appearance,28.38683059194021,0.9799671843647957,0.028432928025722504,0.025739282369613647,2.2908225059509277,0.0,0.0
avenue_01_24_static_object,static_object,38.597201609396265,0.9936000965535641,0.007341286167502403,0.013646806590259075,1.540042519569397,-0.5880268467404367,0.6711051930758988
avenue_01_25_moving_object,moving_object,42.17621257283621,0.996549554169178,0.002949067857116461,0.013982116244733334,1.5289762020111084,0.414025687129543,0.6290782781292643
avenue_01_26_local_appearance,local_appearance,36.57475879170828,0.9898895844817162,0.015214168466627598,0.017613224685192108,1.711147665977478,-0.21822091313603734,0.45019452099205703
avenue_01_27_static_object,static_object,24.322052502416895,0.9613300561904907,0.05840341001749039,0.03955063223838806,2.6823511123657227,-0.8988009823722191,0.0003131700031317
avenue_01_28_moving_object,moving_object,24.880970024847315,0.9657301791012287,0.06399553269147873,0.05943499878048897,2.893270254135132,-0.05003177668533281,0.004006071313045858
avenue_01_29_local_appearance,local_appearance,28.118131661199854,0.9769293069839478,0.033226992934942245,0.01826702058315277,1.939365029335022,-0.4444696286896079,0.0008262755629002272
avenue_01_30_static_object,static_object,22.844715618871973,0.9453100301325321,0.07610318064689636,0.04046560823917389,2.8236100673675537,-8.651206524458482,0.015172801348693454
avenue_01_31_moving_object,moving_object,28.37124278523855,0.9764505326747894,0.05984830856323242,0.04321154206991196,1.8120942115783691,0.043163064071933044,0.0039602243163554375
avenue_01_32_local_appearance,local_appearance,32.13810493924551,0.9824353419244289,0.02698260173201561,0.01795027032494545,1.5890759229660034,-0.17810071335001895,0.333545608927705
avenue_01_33_static_object,static_object,26.026766800665186,0.9728956036269665,0.09585689008235931,0.018700262531638145,1.34282648563385,0.0,0.0
avenue_01_34_moving_object,moving_object,30.300170683645533,0.9912874065339565,0.025453411042690277,0.025585545226931572,1.4181368350982666,-0.015294129162736536,0.004934210526315789
avenue_01_35_local_appearance,local_appearance,30.524516606115625,0.9786380045115948,0.03613845258951187,0.018944058567285538,1.222902536392212,0.0,0.0
avenue_01_36_static_object,static_object,31.606613898062037,0.9829615652561188,0.03152330964803696,0.016606030985713005,0.8593533039093018,-1.7731304964683947,0.2401143401619819
avenue_01_37_moving_object,moving_object,24.152160191320704,0.9581719450652599,0.07547725737094879,0.07678920030593872,3.607804775238037,-0.039594800207008236,0.006717557251908397
avenue_01_38_local_appearance,local_appearance,26.1389880416625,0.9580281861126423,0.04515217989683151,0.0434306263923645,3.0308754444122314,-0.1358165212105463,0.0
avenue_01_39_static_object,static_object,27.723219895147608,0.9711635075509548,0.0763370618224144,0.024308359250426292,1.4635484218597412,0.0,0.0
avenue_01_40_moving_object,moving_object,27.707367443823145,0.9745680689811707,0.06342290341854095,0.045537710189819336,1.7870118618011475,0.07148004543777631,0.004152208084942314
avenue_01_41_local_appearance,local_appearance,25.630107426428125,0.957065649330616,0.04522733390331268,0.04306385666131973,3.027906894683838,0.0,0.0
avenue_01_42_static_object,static_object,27.366300129675196,0.9780157804489136,0.07170967757701874,0.01409213151782751,0.8973978161811829,-0.48974168592668993,0.006655695739623332
avenue_01_43_moving_object,moving_object,28.164589905523584,0.9759864397346973,0.06241124868392944,0.04483857378363609,1.6409239768981934,0.014935610917105095,0.004244960964170155
avenue_01_44_local_appearance,local_appearance,29.428667330526636,0.9773296900093555,0.038757599890232086,0.019989652559161186,1.236304521560669,-0.6145420904382279,0.0034696815918049424
avenue_01_45_static_object,static_object,27.18632748105459,0.9733281023800373,0.0897979885339737,0.018838195130228996,1.0064703226089478,0.0,0.0
avenue_01_46_moving_object,moving_object,28.153623842977808,0.9756202846765518,0.06310003250837326,0.045614052563905716,1.561604619026184,-0.02091809464757155,0.003917495177326012
avenue_01_47_local_appearance,local_appearance,30.653118395590113,0.9767830409109592,0.038963012397289276,0.02431328222155571,1.3272154331207275,0.0,0.0
avenue_01_48_static_object,static_object,31.460402512335108,0.9803824909031391,0.04001087695360184,0.019946206361055374,0.9622324705123901,-21.509213026733036,0.24849445324881142
avenue_01_49_moving_object,moving_object,25.50729563214712,0.9646445326507092,0.051053810864686966,0.0548379048705101,2.768986701965332,-0.06339840001979151,0.007123751296468148
avenue_01_50_local_appearance,local_appearance,28.4377579925292,0.9749527722597122,0.05933190882205963,0.025703299790620804,1.402428388595581,0.0,0.0
avenue_01_51_static_object,static_object,36.42217805364065,0.9896708726882935,0.0195578932762146,0.011355098336935043,0.9769060015678406,-4.765475476980194,0.40868097981032175
avenue_01_52_moving_object,moving_object,28.185235762380884,0.9791089966893196,0.05738091468811035,0.043943408876657486,1.8046501874923706,0.014992471316954551,0.0014664329911656354
avenue_01_53_local_appearance,local_appearance,27.21517851331167,0.9662782289087772,0.05596335604786873,0.03109404444694519,1.5759724378585815,0.30450571140115823,0.0
avenue_01_54_static_object,static_object,31.836064362310694,0.9835453703999519,0.025778383016586304,0.018597504124045372,1.2234337329864502,-0.56759826677426,0.2572459805315542
avenue_01_55_moving_object,moving_object,27.976491951727198,0.9762036055326462,0.059616122394800186,0.037368182092905045,1.324944019317627,0.02898306504247307,0.001260733269728772
avenue_01_56_local_appearance,local_appearance,30.326704287313746,0.9777414202690125,0.04208524525165558,0.024466047063469887,1.183358073234558,0.0,0.0
avenue_01_57_static_object,static_object,27.757046723150538,0.9788175560534,0.06816086173057556,0.010186356492340565,0.6366210579872131,-4.203961907428222,0.00918979744936234
avenue_01_58_moving_object,moving_object,28.277431034826563,0.9758677966892719,0.06474608182907104,0.04079851880669594,1.3493844270706177,0.017466737319650153,0.004217791411042945
avenue_01_59_local_appearance,local_appearance,28.896005654119776,0.9758123755455017,0.06709564477205276,0.021528955549001694,0.9353542923927307,0.0,0.0
